ID,SITIO,BAIRRO,REGIONAL,MACROZONA,MICROZONA,SCN,STATUS,FINALIDADE,ENDERECO,VIA_SENTIDO,DESCRICAO,DATA_ATIVACAO,DATA_DESATIVACAO,FISCALIZACAO,FAIXAS_VIA,FXSTRAFDIR,FAIXAS_FIS,TEMCONTAGE,INFVELOCID,LONG,LAT
419,1385298,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00053:H,Ativo,Fiscalização,"Av. Antônio Sales, 2311 - Entre Rua Osvaldo Cruz e Rua Visc. De Mauá [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150414,,Não-metrológico,3,1,1,S,N,"-38,503105","-3,745266"
58,1385109,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00134:C,Inativo,Fiscalização,Av. Barão de Studart x Rua Padre Valdevino [S-N],Av. Barão de Studart [S-N],Cruzamento,20130124,20200222,Misto,2,2,2,S,S,"-38,508849","-3,741727"
449,1385293,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00411:D,Ativo,Fiscalização,"Av. Antônio Sales, 1780 - Entre Rua Silva Paulet e Rua José Vilar [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150430,,Não-metrológico,3,1,1,S,N,"-38,508084","-3,743731"
367,1385307,Dionísio Torres,SR 2,Corredor,Pontes Vieira,00338:F,Inativo,Fiscalização,Av. Pontes Vieira x Rua Vicente Leite [O-L],Av. Pontes Vieira [O-L],Cruzamento,20150128,20180326,Misto,2,2,3,S,S,"-38,500358","-3,751227"
418,1385300,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00419:D,Ativo,Fiscalização,Av. Antônio Sales entre Desembargador Moreira e Barbosa de Freitas [O-L],Av. Antônio Sales [O-L],Meio de quadra,20150406,,Não-metrológico,3,1,1,S,N,"-38,501051","-3,745896"
417,1385299,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00053:H,Ativo,Fiscalização,"Av. Antônio Sales, 2402 [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150406,,Não-metrológico,3,1,1,S,N,"-38,501998","-3,745609"
48,1385151,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00053:H,Inativo,Fiscalização,Av. Antônio Sales x Av. Desembargador Moreira [O-L],Av. Antônio Sales [O-L],Cruzamento,20130207,20170123,Misto,3,3,3,S,S,"-38,50151","-3,745728"
47,1385152,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00053:E,Inativo,Fiscalização,Av. Desembargador Moreira x Av. Antônio Sales [N-S],Av. Desembargador Moreira [N-S],Cruzamento,20130207,20170123,Misto,2,2,3,S,S,"-38,501417","-3,74566"
439,1385301,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00339:H,Ativo,Fiscalização,"Av. Antônio Sales, 2666 [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150324,,Não-metrológico,3,1,1,S,N,"-38,500101","-3,746194"
440,1385302,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00339:C,Ativo,Fiscalização,"Av. Antônio Sales, 2772 (entre Rua Leonardo Mota e Rua Vicente Leite) [L-O]",Av. Antônio Sales [L-O],Meio de quadra,20150324,,Não-metrológico,3,1,1,N,N,"-38,499037","-3,746531"
596,1385347,Dionísio Torres,SR 2,,PONTES VIEIRA,00050:D,Inativo,Fiscalização,Av. Pontes Vieira x Av. Senador Virgílio Távora [O-L],Av. Pontes Vieira [O-L],Cruzamento,20161213,20201211,Não-metrológico,2,2,2,S,N,"-38,497803","-3,750927"
41,1385189,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00340:G,Inativo,Fiscalização,Av. Senador Virgílio Távora x Rua Prof. Francisco Gonçalves [S-N],Av. Sen. Virgílio Távora [S-N],Cruzamento,20130123,20160207,Misto,2,2,3,S,S,"-38,49682","-3,748377"
414,1385303,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00335:G,Ativo,Fiscalização,"Av. Antônio Sales, 2900 [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150221,,Não-metrológico,3,1,1,S,N,"-38,498261","-3,746774"
415,1385304,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00103:D,Ativo,Fiscalização,"Av. Antônio Sales, 3000 [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150221,,Não-metrológico,3,1,1,N,N,"-38,497093","-3,747146"
51,1385184,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00103:D,Inativo,Fiscalização,Av. Antônio Sales x Av. Senador Virgílio Távora [O-L],Av. Antônio Sales [O-L],Cruzamento,20130214,20170123,Misto,3,3,3,S,S,"-38,496609","-3,747256"
52,1385148,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00103:A,Inativo,Fiscalização,Av. Senador Virgílio Távora x Av. Antônio Sales [N-S],Av. Sen. Virgílio Távora [N-S],Cruzamento,20130214,20201211,Misto,2,2,3,S,S,"-38,496523","-3,747202"
404,1385305,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00103:C,Ativo,Fiscalização,"Av. Antônio Sales, 3120 [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150311,,Não-metrológico,3,1,1,S,N,"-38,496091","-3,747451"
403,1385306,Dionísio Torres,SR 2,Corredor,Aldeota Sul,00574:H,Ativo,Fiscalização,"Av. Antônio Sales, 3266 [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150311,,Não-metrológico,3,1,1,S,N,"-38,494954","-3,747803"
629,FS066,Papicu,SR 2,,,00268:F,Inativo,Fiscalização,"Av. Santos Dumont, 6500 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20130128,20140305,Metrológico,2,2,2,S,S,"-38,474928","-3,743847"
630,FS083,Papicu,SR 2,,,00268:F,Inativo,Fiscalização,"Av. Santos Dumont, 6500 - Oposto [L-O]",Av. Santos Dumont [L-O],Meio de quadra,20130128,20140305,Metrológico,2,2,2,S,S,"-38,474897","-3,743726"
46,1385160,Papicu,SR 2,,,00187:C,Inativo,Fiscalização,Av. Eng. Santana Júnior x Rua Prof. Silas Ribeiro [S-N],Av. Eng. Santana Júnior [S-N],Cruzamento,20130220,20201211,Misto,3,3,4,S,S,"-38,482927","-3,737105"
45,1385161,Papicu,SR 2,,,00187:A,Inativo,Fiscalização,Av. Eng. Santana Júnior x Rua Prof. Sila Ribeiro [N-S],Av. Eng. Santana Júnior [N-S],Cruzamento,20130220,20201211,Misto,3,3,3,S,S,"-38,482903","-3,736886"
338,1385277,Papicu,SR 2,,,00268:F,Inativo,Fiscalização,Av. Santos Dumont x Rua Almeida Prado [O-L],Av. Santos Dumont [O-L],Cruzamento,20141028,20190125,Misto,2,2,2,S,S,"-38,475231","-3,743753"
337,1385245,Papicu,SR 2,,,00268:F,Inativo,Fiscalização,Av. Santos Dumont x Rua Almeida Prado [L-O],Av. Santos Dumont [L-O],Cruzamento,20141028,20190125,Misto,2,2,3,S,S,"-38,475104","-3,743687"
108,1385187,Papicu,SR 2,,,00268:F,Inativo,Fiscalização,Av. Santos Dumont x Rua Dr. Francisco Matos [L-O],Av. Santos Dumont [L-O],Cruzamento,20130403,20201211,Misto,2,2,2,S,S,"-38,469578","-3,745464"
510,1385803,Cais do Porto,SR 2,,,00041:F,Inativo,Coleta de Dados,"Av. César Cals, próximo ao nº 100 [N-S]",Av. José Sabóia [N-S],Meio de quadra,20160816,20170123,Não-metrológico,2,2,2,S,N,"-38,465363","-3,719137"
509,1385802,Cais do Porto,SR 2,,,00041:F,Inativo,Coleta de Dados,"Av. César Cals, próximo ao nº 100 - Oposto [S-N]",Av. José Sabóia [S-N],Meio de quadra,20160816,20170123,Não-metrológico,2,2,2,S,N,"-38,46536","-3,71893"
638,1385145,Aldeota,SR 2,,,00130:G,Inativo,Fiscalização,Av. Senador Virgílio Távora x Av. Dom Luís [S-N],Av. Sen. Virgílio Távora [S-N],Cruzamento,20130326,20140427,Misto,2,2,3,S,S,"-38,492541","-3,735009"
643,AT604,Aldeota,SR 2,,,00138:B,Inativo,Fiscalização,"Rua Padre Valdevino, 1515 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160413,20160825,Não-metrológico,2,1,1,S,N,"-38,510488","-3,741111"
546,AT701,Aldeota,SR 2,,,00381:B,Ativo,Fiscalização,"Rua Padre Valdevino, 1040 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,514937","-3,739705"
548,AT703,Aldeota,SR 2,,,00167:F,Ativo,Fiscalização,"Rua Padre Valdevino, 821 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,516885","-3,73909"
