;ITEM;TIPO;DISTRITO;INEP;UNIDADE ESCOLAR;ENDEREÇO;BAIRRO;CEP;lat;lon
360;567;EMTP;VI;23277572;ESCOLA MUNICIPAL MAJOR ASTHON GUILHERME DA SILVA;RUA B, 295 (RES. JOSÉ EUCLIDES);JANGURUSSU;60877236;-3.8546809163988063;-38.51897359822444
361;568;ANE;VI;_;ESCOLA MUNICIPAL SINO PINHEIRO - UND II;RUA 9 , 279 (CONJUNTO JOÃO PAULO II);BARROSO;60863660;-3.826402363790176;-38.5165612216099
362;569;CEI;VI;_;CEI PROFESSORA MARIA EVAN DO CARMO;RUA MATEUS ALMEIDA, 71;JOSÉ DE ALENCAR;60830455;-3.8160215666153543;-38.476788830662585
363;571;CEI;VI;_;CEI MARIA DE LOURDES RIBEIRO JEREISSATI;RUA 1 (LOT. PARQUE VERDE), 930;JARDIM DAS OLIVEIRAS;60821210;-3.7840509646791154;-38.50370636117592
364;572;CEI;VI;_;CEI PROFESSORA EDITH BRAGA;RUA CAPITÃO VASCONCELOS, 1061;AEROLÂNDIA;60850680;-3.7711170727920402;-38.51571500348243
365;577;CEI;VI;_;CEI HUMBERTO TEIXEIRA;RUA FRANCISCO COSTA, 162;JANGURUSSU;60865220;-3.842309833755765;-38.51472963269819
366;579;CEI;VI;_;CEI JOAO SARAIVA LEAO;RUA ANTÔNIO CANDEIA, 89;GUAJERU;60843230;-3.8288231768867167;-38.48011648138117
367;586;CEI;VI;_;CEI PARQUE SAO MIGUEL;TRAV. SILVEIRA DA MOTA, 105;LAGOA REDONDA;60831163;-3.8223861877027754;-38.471086799292074
368;587;CEI;VI;_;CEI PROFESSOR ANISIO TEIXEIRA;RUA GUARANI, 355;PAUPINA;60873530;-3.8587808924522955;-38.493006608015115
369;588;CEI;VI;_;CEI PROFESSOR FRANCISCO DE MELO JABORANDI;AV. GOVERNADOR LEONEL BRIZOLA, 198A;JANGURUSSU;60866190;-3.831360741282121;-38.51870169903855
370;590;CEI;VI;_;CEI PROFESSORA FERNANDA MARIA ALENCAR COLARES;RUA RAQUEL FLORÊNCIO, 351;LAGOA REDONDA;60832140;-3.8265839765320075;-38.457979158126314
371;591;CEI;VI;_;CEI PROFESSORA MARIA DO SOCORRO FERREIRA VIRINO;AV. VALPARAISO, 339;CONJUNTO PALMEIRAS;60870440;-3.846137474850775;-38.52358643220635
372;606;CRP;VI;_;CRECHE BEM ESTAR COMUNITARIO;RUA FREI CANECA, 299;JARDIM DAS OLIVEIRAS;60820000;-3.7860423745593503;-38.50684172516212
373;608;CRP;VI;_;CRECHE JARDIM ENCANTADO;RUA OZÉLIA PONTES, 187;JOSÉ DE ALENCAR;60830395;-3.8184027850180993;-38.477216176210646
374;609;CRP;VI;_;CRECHE CUIDANDO E ENSINANDO;RUA JOSÉ DOS REIS CARVALHO, 64 (RES. ALDEMIR MARTINS);JANGURUSSU;60877486;-3.853791129791738;-38.512377712544705
375;613;CRP;VI;_;CRECHE FAZENDO A DIFERENCA (ABFD);RUA MUTAMBA, 175B;JANGURUSSU;60865210;-3.841347838404177;-38.51349331021774
376;614;CRP;VI;_;CRECHE SAO JUDAS TADEU;RUA 03, 78 (CONJUNTO JOÃO PAULO II);BARROSO;60863840;-3.822892628193716;-38.5190917170939
377;615;CRP;VI;_;CRECHE SONHO DE CRIANCA 2;RUA IRMÃOS OLÍMPIO, 197;JANGURUSSU;60870630;-3.846683107485781;-38.5112118924362
378;616;CRP;VI;_;CRECHE CASA DO JOAO;RUA SÃO LEOPOLDO, 678;ANCURI;60874170;-3.862763834711032;-38.50465372864008
379;618;CRP;VI;_;CRECHE ACADEMIA DA CRIANCA;RUA GREGÓRIO DE FRANÇA, 174;CAJAZEIRAS;60864400;-3.8051929339580965;-38.50453907073919
